"","V1","V2","V3"
"1",1,1,0.198558021675717
"2",1,2,0.197856873048832
"3",1,3,0.197170765269032
"4",1,4,0.196499670375296
"5",1,5,0.195843561458051
"6",1,6,0.195202411903811
"7",1,7,0.194576195791294
"8",1,8,0.193964887946233
"9",1,9,0.193368463772559
"10",1,10,0.192786899082334
"11",1,11,0.192220170668340
"12",1,12,0.191668255642617
"13",1,13,0.191131131916324
"14",1,14,0.190608777761802
"15",1,15,0.190101172410898
"16",1,16,0.189608295438954
"17",1,17,0.189130127128053
"18",1,18,0.188666648306845
"19",1,19,0.188217840468650
"20",1,20,0.187783685673838
"21",1,21,0.187364166501702
"22",1,22,0.186959266326653
"23",1,23,0.186568968841981
"24",1,24,0.186193258635062
"25",1,25,0.185832120652260
"26",1,26,0.185485540446577
"27",1,27,0.185153504318849
"28",1,28,0.184835999004197
"29",1,29,0.184533011865386
"30",1,30,0.184244530903575
"31",1,31,0.183970544560854
"32",1,32,0.183711041984776
"33",1,33,0.183466012920718
"34",1,34,0.183235447572040
"35",1,35,0.183019336842631
"36",1,36,0.182817672089533
"37",1,37,0.182630445350950
"38",1,38,0.18245764919391
"39",1,39,0.182299276820532
"40",1,40,0.182155321815973
"41",1,41,0.182025778625175
"42",1,42,0.181910642003214
"43",1,43,0.181809907443033
"44",1,44,0.181723570935691
"45",1,45,0.181651629091036
"46",1,46,0.181594079011184
"47",1,47,0.181550918459839
"48",1,48,0.181522145743792
"49",1,49,0.181507759604061
"50",1,50,0.181507759608334
"51",1,51,0.181522145692604
"52",1,52,0.181550918455905
"53",1,53,0.181594079000693
"54",1,54,0.181651629073012
"55",1,55,0.181723570949113
"56",1,56,0.181809907432048
"57",1,57,0.181910641980647
"58",1,58,0.182025778609701
"59",1,59,0.182155321815970
"60",1,60,0.182299276812013
"61",1,61,0.182457649205785
"62",1,62,0.182630445350734
"63",1,63,0.182817672112714
"64",1,64,0.183019336906997
"65",1,65,0.183235447602335
"66",1,66,0.183466012920719
"67",1,67,0.183711041984774
"68",1,68,0.183970544570015
"69",1,69,0.184244530903578
"70",1,70,0.184533011865386
"71",1,71,0.184835999004187
"72",1,72,0.185153504388283
"73",1,73,0.185485540452673
"74",1,74,0.185832120654448
"75",1,75,0.186193258635066
"76",1,76,0.186568968841250
"77",1,77,0.18695926632667
"78",1,78,0.187364166501825
"79",1,79,0.187783685675857
"80",1,80,0.188217840468646
"81",1,81,0.188666648306851
"82",1,82,0.189130127128201
"83",1,83,0.189608295438719
"84",1,84,0.190101172404351
"85",1,85,0.190608777782937
"86",1,86,0.191131131916222
"87",1,87,0.191668255649753
"88",1,88,0.192220170655346
"89",1,89,0.192786899082679
"90",1,90,0.193368463773024
"91",1,91,0.193964887946139
"92",1,92,0.194576195789394
"93",1,93,0.195202411903812
"94",1,94,0.195843561458034
"95",1,95,0.196499670418554
"96",1,96,0.197170765269038
"97",1,97,0.197856873048489
"98",1,98,0.198558021675690
"99",2,1,0.197856873084424
"100",2,2,0.197165153695791
"101",2,3,0.196488419130313
"102",2,4,0.195826642019826
"103",2,5,0.195179795620913
"104",2,6,0.194547853962299
"105",2,7,0.193930791485464
"106",2,8,0.193328583361560
"107",2,9,0.192741205466980
"108",2,10,0.192168634174324
"109",2,11,0.191610846480710
"110",2,12,0.191067819986971
"111",2,13,0.190539532984750
"112",2,14,0.190025964286924
"113",2,15,0.189527093347861
"114",2,16,0.189042900193078
"115",2,17,0.18857336549617
"116",2,18,0.188118470532042
"117",2,19,0.187678197078573
"118",2,20,0.187252527600866
"119",2,21,0.186841445153424
"120",2,22,0.186444933292891
"121",2,23,0.186062976300612
"122",2,24,0.185695558983626
"123",2,25,0.185342666600346
"124",2,26,0.185004285235299
"125",2,27,0.184680401460714
"126",2,28,0.184371002275548
"127",2,29,0.184076075537184
"128",2,30,0.183795609450485
"129",2,31,0.183529592921456
"130",2,32,0.183278015448942
"131",2,33,0.183040866919282
"132",2,34,0.182818138083710
"133",2,35,0.182609820034547
"134",2,36,0.182415904551661
"135",2,37,0.182236383945343
"136",2,38,0.182071251122087
"137",2,39,0.18192049954116
"138",2,40,0.181784123167334
"139",2,41,0.181662116710813
"140",2,42,0.181554475290989
"141",2,43,0.181461194681832
"142",2,44,0.181382271164501
"143",2,45,0.181317701635731
"144",2,46,0.181267483557627
"145",2,47,0.181231614898289
"146",2,48,0.181210094285466
"147",2,49,0.181202920846935
"148",2,50,0.181210094260573
"149",2,51,0.181231614913721
"150",2,52,0.181267483540303
"151",2,53,0.181317701649063
"152",2,54,0.181382271187303
"153",2,55,0.181461194667177
"154",2,56,0.181554475301338
"155",2,57,0.181662116710811
"156",2,58,0.181784123150253
"157",2,59,0.181920499497352
"158",2,60,0.182071251112649
"159",2,61,0.182236383945372
"160",2,62,0.182415904551662
"161",2,63,0.182609820031390
"162",2,64,0.182818138085336
"163",2,65,0.183040866918667
"164",2,66,0.183278015444937
"165",2,67,0.183529592921454
"166",2,68,0.183795609450487
"167",2,69,0.184076075537185
"168",2,70,0.184371002275547
"169",2,71,0.184680401466298
"170",2,72,0.185004285235303
"171",2,73,0.185342666597798
"172",2,74,0.18569555895838
"173",2,75,0.186062976300609
"174",2,76,0.186444933317946
"175",2,77,0.186841445153425
"176",2,78,0.187252527600882
"177",2,79,0.187678197078572
"178",2,80,0.188118470532035
"179",2,81,0.188573365525005
"180",2,82,0.189042900190627
"181",2,83,0.189527093347859
"182",2,84,0.190025964378221
"183",2,85,0.190539532975689
"184",2,86,0.191067819994782
"185",2,87,0.191610846480711
"186",2,88,0.192168634194482
"187",2,89,0.192741205466973
"188",2,90,0.193328583407240
"189",2,91,0.193930791449655
"190",2,92,0.194547853962288
"191",2,93,0.195179795620915
"192",2,94,0.195826642005524
"193",2,95,0.196488419129656
"194",2,96,0.197165153695996
"195",2,97,0.197856873084697
"196",3,1,0.197170765202141
"197",3,2,0.196488419161905
"198",3,3,0.195821002298904
"199",3,4,0.195168487690999
"200",3,5,0.194530849191525
"201",3,6,0.193908061080023
"202",3,7,0.193300098393743
"203",3,8,0.192706936633990
"204",3,9,0.192128552026168
"205",3,10,0.191564921460647
"206",3,11,0.191016022343843
"207",3,12,0.190481832591281
"208",3,13,0.189962331014674
"209",3,14,0.189457496715803
"210",3,15,0.188967309589619
"211",3,16,0.188491750067501
"212",3,17,0.188030799222441
"213",3,18,0.187584438662791
"214",3,19,0.187152650518721
"215",3,20,0.186735417727150
"216",3,21,0.186332723620670
"217",3,22,0.185944552224182
"218",3,23,0.185570888129412
"219",3,24,0.185211716425477
"220",3,25,0.184867022873098
"221",3,26,0.184536793826268
"222",3,27,0.184221016181962
"223",3,28,0.183919677416035
"224",3,29,0.183632765603233
"225",3,30,0.183360269342002
"226",3,31,0.183102177835507
"227",3,32,0.182858480959946
"228",3,33,0.182629168951722
"229",3,34,0.182414232777591
"230",3,35,0.182213663984585
"231",3,36,0.182027454613009
"232",3,37,0.181855597315529
"233",3,38,0.181698085302874
"234",3,39,0.181554912356641
"235",3,40,0.181426072785703
"236",3,41,0.181311561506671
"237",3,42,0.181211374037560
"238",3,43,0.181125506411674
"239",3,44,0.18105395523626
"240",3,45,0.180996717676267
"241",3,46,0.180953791492855
"242",3,47,0.180925174983378
"243",3,48,0.180910866993703
"244",3,49,0.180910867034736
"245",3,50,0.180925174962301
"246",3,51,0.180953791485030
"247",3,52,0.180996717729658
"248",3,53,0.181053955281914
"249",3,54,0.181125506408982
"250",3,55,0.181211374031600
"251",3,56,0.181311561506668
"252",3,57,0.181426072785704
"253",3,58,0.181554912356623
"254",3,59,0.181698085317974
"255",3,60,0.181855597321088
"256",3,61,0.18202745461301
"257",3,62,0.182213663984585
"258",3,63,0.182414232795315
"259",3,64,0.182629168954284
"260",3,65,0.18285848091963
"261",3,66,0.183102177835533
"262",3,67,0.183360269342081
"263",3,68,0.183632765603231
"264",3,69,0.183919677416036
"265",3,70,0.184221016194915
"266",3,71,0.184536793826302
"267",3,72,0.184867022880820
"268",3,73,0.185211716424343
"269",3,74,0.185570888129411
"270",3,75,0.185944552224180
